Region Abbreviation,Region Name,Tax Year,BracketNo,Starting Income,Ending Income,Tax Rate,Base Tax Amount
MB,Manitoba,2019,3,70610,,0.1740,8365.71
ON,Ontario,2019,1,0,43906,0.0505,0.00
ON,Ontario,2019,2,43906,87813,0.0915,2217.25
ON,Ontario,2019,3,87813,150000,0.1116,6234.74
ON,Ontario,2019,4,150000,220000,0.1216,13174.81
ON,Ontario,2019,5,220000,,0.1316,21686.81
QC,Québec,2019,1,0,43790,0.1500,0.00
QC,Québec,2019,2,43790,87575,0.2000,6568.50
QC,Québec,2019,3,87575,106555,0.2400,15325.50
QC,Québec,2019,4,106555,,0.2575,19880.70
NB,New Brunswick,2019,1,0,42592,0.0968,0.00
NB,New Brunswick,2019,2,42592,85184,0.1482,4122.91
NB,New Brunswick,2019,3,85184,138491,0.1652,10435.04
NB,New Brunswick,2019,4,138491,138491,0.1784,19241.36
NB,New Brunswick,2019,5,138491,,0.2030,19241.36
NS,Nova Scotia,2019,1,0,29590,0.0879,0.00
NS,Nova Scotia,2019,2,29590,59180,0.1495,2600.96
NS,Nova Scotia,2019,3,59180,93000,0.1667,7024.67
NS,Nova Scotia,2019,4,93000,150000,0.1750,12662.46
NS,Nova Scotia,2019,5,150000,,0.2100,22637.46
PE,Prince Edward Island,2019,1,0,31984,0.0980,0.00
PE,Prince Edward Island,2019,2,31984,63969,0.1380,3134.43
PE,Prince Edward Island,2019,3,63969,,0.1670,7548.36
NL,Newfoundland & Labador,2019,1,0,37591,0.0870,0.00
NL,Newfoundland & Labador,2019,2,37591,75181,0.1450,3270.42
NL,Newfoundland & Labador,2019,3,75181,134224,0.1580,8720.97
NL,Newfoundland & Labador,2019,4,134224,187913,0.1730,18049.76
NL,Newfoundland & Labador,2019,5,187913,,0.1830,27337.96
YT,Yukon,2019,1,0,47630,0.0640,0.00
YT,Yukon,2019,2,47630,95259,0.0900,3048.32
YT,Yukon,2019,3,95259,147667,0.1090,7334.93
YT,Yukon,2019,4,147667,500000,0.1280,13047.40
YT,Yukon,2019,5,500000,,0.1500,58146.02
NT,Northwest Territories,2019,1,0,43137,0.0590,0.00
NT,Northwest Territories,2019,2,43137,86277,0.0860,2545.08
NT,Northwest Territories,2019,3,86277,140267,0.1220,6255.12
NT,Northwest Territories,2019,4,140267,,0.1405,12841.90
NU,Nunavut,2019,1,0,45414,0.0400,0.00
NU,Nunavut,2019,2,45414,90829,0.0700,1816.56
NU,Nunavut,2019,3,90829,147667,0.0900,4995.61
NU,Nunavut,2019,4,147667,,0.1150,10111.03
CAN,Canada,2018,1,0,46605,0.1500,0.00
CAN,Canada,2018,2,46605,93208,0.2050,6990.75
CAN,Canada,2018,3,93208,144489,0.2600,16544.37
CAN,Canada,2018,4,144489,205842,0.2900,29877.43
CAN,Canada,2018,5,205842,,0.3300,47669.80
BC,British Columbia,2018,1,0,39676,0.0506,0.00
BC,British Columbia,2018,2,39676,79353,0.0770,2007.61
BC,British Columbia,2018,3,79353,91107,0.1050,5062.74
BC,British Columbia,2018,4,91107,110630,0.1229,6296.91
BC,British Columbia,2018,5,110630,150000,0.1470,8696.29
BC,British Columbia,2018,6,150000,,0.1680,14483.68
AB,Alberta,2018,1,0,128145,0.1000,0.00
AB,Alberta,2018,2,128145,153773,0.1200,12814.50
AB,Alberta,2018,3,153773,205031,0.1300,15889.86
AB,Alberta,2018,4,205031,205031,0.1400,22553.40
AB,Alberta,2018,5,205031,,0.1500,22553.40
SK,Saskatchewan,2018,1,0,45225,0.1050,0.00
SK,Saskatchewan,2018,2,45225,129214,0.1250,4748.63
SK,Saskatchewan,2018,3,129214,,0.1450,15247.26
MB,Manitoba,2018,1,0,31843,0.1080,0.00
MB,Manitoba,2018,2,31843,68821,0.1275,3439.04
MB,Manitoba,2018,3,68821,,0.1740,8153.74
ON,Ontario,2018,1,0,42960,0.0505,0.00
ON,Ontario,2018,2,42960,85923,0.0915,2169.48
ON,Ontario,2018,3,85923,150000,0.1116,6100.59
ON,Ontario,2018,4,150000,220000,0.1216,13251.58
ON,Ontario,2018,5,220000,,0.1316,21763.58
QC,Québec,2018,1,0,43055,0.1500,0.00
QC,Québec,2018,2,43055,86105,0.2000,6458.25
QC,Québec,2018,3,86105,104765,0.2400,15068.25
QC,Québec,2018,4,104765,,0.2575,19546.65
NB,New Brunswick,2018,1,0,41675,0.0968,0.00
NB,New Brunswick,2018,2,41675,83351,0.1482,4034.14
NB,New Brunswick,2018,3,83351,135510,0.1652,10210.52
NB,New Brunswick,2018,4,135510,154382,0.1784,18827.19
NB,New Brunswick,2018,5,154382,,0.2030,22193.95
NS,Nova Scotia,2018,1,0,29590,0.0879,0.00
NS,Nova Scotia,2018,2,29590,59180,0.1495,2600.96
NS,Nova Scotia,2018,3,59180,93000,0.1667,7024.67
NS,Nova Scotia,2018,4,93000,150000,0.1750,12662.46
NS,Nova Scotia,2018,5,150000,,0.2100,22637.46
PE,Prince Edward Island,2018,1,0,31984,0.0980,0.00
PE,Prince Edward Island,2018,2,31984,63969,0.1380,3134.43
PE,Prince Edward Island,2018,3,63969,,0.1670,7548.36
NL,Newfoundland & Labador,2018,1,0,36927,0.0870,0.00
NL,Newfoundland & Labador,2018,2,36927,73852,0.1450,3212.65
NL,Newfoundland & Labador,2018,3,73852,131850,0.1580,8566.78
NL,Newfoundland & Labador,2018,4,131850,184590,0.1730,17730.46
NL,Newfoundland & Labador,2018,5,184590,,0.1830,26854.48
YT,Yukon,2018,1,0,46605,0.0640,0.00
YT,Yukon,2018,2,46605,93208,0.0900,2982.72
YT,Yukon,2018,3,93208,144488,0.1090,7176.99
YT,Yukon,2018,4,144488,500000,0.1280,12766.51
YT,Yukon,2018,5,500000,,0.1500,58272.05
NT,Northwest Territories,2018,1,0,42209,0.0590,0.00
NT,Northwest Territories,2018,2,42209,84420,0.0860,2490.33
NT,Northwest Territories,2018,3,84420,137247,0.1220,6120.48
NT,Northwest Territories,2018,4,137247,,0.1405,12565.37
NU,Nunavut,2018,1,0,44437,0.0400,0.00
NU,Nunavut,2018,2,44437,88874,0.0700,1777.48
NU,Nunavut,2018,3,88874,144488,0.0900,4888.07
NU,Nunavut,2018,4,144488,,0.1150,9893.33
CAN,Canada,2017,1,0,45916,0.1500,0.00
CAN,Canada,2017,2,45916,91831,0.2050,6887.40
CAN,Canada,2017,3,91831,142353,0.2600,16299.98
CAN,Canada,2017,4,142353,202800,0.2900,29435.70
CAN,Canada,2017,5,202800,,0.3300,46965.33
BC,British Columbia,2017,1,0,38898,0.0506,0.00
BC,British Columbia,2017,2,38898,77977,0.0770,1968.24
BC,British Columbia,2017,3,77977,89320,0.1050,4977.32
BC,British Columbia,2017,4,89320,108460,0.1229,6168.34
BC,British Columbia,2017,5,108460,,0.1470,8520.65
AB,Alberta,2017,1,0,126625,0.1000,0.00
AB,Alberta,2017,2,126625,151950,0.1200,12662.50
AB,Alberta,2017,3,151950,202600,0.1300,15701.50
AB,Alberta,2017,4,202600,303900,0.1400,22286.00
AB,Alberta,2017,5,303900,,0.1500,36468.00
SK,Saskatchewan,2017,1,0,45225,0.1075,0.00
SK,Saskatchewan,2017,2,45225,129214,0.1275,4861.69
SK,Saskatchewan,2017,3,129214,,0.1740,15570.29
MB,Manitoba,2017,1,0,31465,0.1080,0.00
MB,Manitoba,2017,2,31465,68005,0.1275,3398.22
MB,Manitoba,2017,3,68005,,0.1740,8057.07
ON,Ontario,2017,1,0,42201,0.0505,0.00
ON,Ontario,2017,2,42201,84404,0.0915,2131.15
ON,Ontario,2017,3,84404,150000,0.1116,5992.72
ON,Ontario,2017,4,150000,220000,0.1216,13313.23
ON,Ontario,2017,5,220000,,0.1316,21825.23
QC,Québec,2017,1,0,42705,0.1600,0.00
QC,Québec,2017,2,42705,85405,0.2000,6832.80
QC,Québec,2017,3,85405,103915,0.2400,15372.80
QC,Québec,2017,4,103915,,0.2575,19815.20
NB,New Brunswick,2017,1,0,41059,0.0968,0.00
NB,New Brunswick,2017,2,41059,82119,0.1482,3974.51
NB,New Brunswick,2017,3,82119,133507,0.1652,10059.60
NB,New Brunswick,2017,4,133507,152100,0.1784,18548.90
NB,New Brunswick,2017,5,152100,,0.2030,21865.89
NS,Nova Scotia,2017,1,0,29590,0.0879,0.00
NS,Nova Scotia,2017,2,29590,59180,0.1495,2600.96
NS,Nova Scotia,2017,3,59180,93000,0.1667,7024.67
NS,Nova Scotia,2017,4,93000,150000,0.1750,12662.46
NS,Nova Scotia,2017,5,150000,,0.2100,22637.46
PE,Prince Edward Island,2017,1,0,31984,0.0980,0.00
PE,Prince Edward Island,2017,2,31984,63969,0.1380,3134.43
PE,Prince Edward Island,2017,3,63969,,0.1670,7548.36
NL,Newfoundland & Labador,2017,1,0,35851,0.0870,0.00
NL,Newfoundland & Labador,2017,2,35851,71701,0.1450,3119.04
NL,Newfoundland & Labador,2017,3,71701,128010,0.1580,8317.29
NL,Newfoundland & Labador,2017,4,128010,179214,0.1730,17214.11
NL,Newfoundland & Labador,2017,5,179214,,0.1830,26072.40
YT,Yukon,2017,1,0,45916,0.0640,0.00
YT,Yukon,2017,2,45916,91831,0.0900,2938.62
YT,Yukon,2017,3,91831,142353,0.1090,7070.97
YT,Yukon,2017,4,142353,500000,0.1280,12577.87
YT,Yukon,2017,5,500000,,0.1500,58356.69
NT,Northwest Territories,2017,1,0,41585,0.0590,0.00
NT,Northwest Territories,2017,2,41585,83172,0.0860,2453.52
NT,Northwest Territories,2017,3,83172,135219,0.1220,6030.00
NT,Northwest Territories,2017,4,135219,,0.1405,12379.73
NU,Nunavut,2017,1,0,43780,0.0400,0.00
NU,Nunavut,2017,2,43780,87560,0.0700,1751.20
NU,Nunavut,2017,3,87560,142353,0.0900,4815.80
NU,Nunavut,2017,4,142353,,0.1150,9747.17
CAN,Canada,2016,1,0,45282,0.1500,0.00
CAN,Canada,2016,2,45282,90563,0.2050,6792.30
CAN,Canada,2016,3,90563,140388,0.2600,16074.91
CAN,Canada,2016,4,140388,200000,0.2900,29029.41
CAN,Canada,2016,5,200000,,0.3300,46316.89
BC,British Columbia,2016,1,0,38210,0.0506,0.00
BC,British Columbia,2016,2,38210,76421,0.0770,1933.43
BC,British Columbia,2016,3,76421,87741,0.1050,4875.68
BC,British Columbia,2016,4,87741,106543,0.1229,6064.28
BC,British Columbia,2016,5,106543,,0.1470,8375.05
AB,Alberta,2016,1,0,125000,0.1000,0.00
AB,Alberta,2016,2,125000,150000,0.1200,12500.00
AB,Alberta,2016,3,150000,200000,0.1300,15500.00
AB,Alberta,2016,4,200000,300000,0.1400,22000.00
AB,Alberta,2016,5,300000,,0.1500,36000.00
SK,Saskatchewan,2016,1,0,44601,0.1100,0.00
SK,Saskatchewan,2016,2,44601,127430,0.1300,4906.11
SK,Saskatchewan,2016,3,127430,,0.1500,15673.88
MB,Manitoba,2016,1,0,31000,0.1080,0.00
MB,Manitoba,2016,2,31000,67000,0.1275,3348.00
MB,Manitoba,2016,3,67000,,0.1740,7938.00
ON,Ontario,2016,1,0,41536,0.0505,0.00
ON,Ontario,2016,2,41536,83075,0.0915,2097.57
ON,Ontario,2016,3,83075,150000,0.1116,5898.39
ON,Ontario,2016,4,150000,220000,0.1216,13367.22
ON,Ontario,2016,5,220000,,0.1316,21879.22
QC,Ontario,2016,1,0,42390,0.1600,0.00
QC,Québec,2016,2,42390,84780,0.2000,6782.40
QC,Québec,2016,3,84780,103150,0.2400,15260.40
QC,Québec,2016,4,103150,,0.2575,19669.20
NB,New Brunswick,2016,1,0,40492,0.0968,0.00
NB,New Brunswick,2016,2,40492,80985,0.1482,3919.63
NB,New Brunswick,2016,3,80985,131664,0.1652,9920.69
NB,New Brunswick,2016,4,131664,150000,0.1784,18292.86
NB,New Brunswick,2016,5,150000,,0.2030,21564.00
NS,Nova Scotia,2016,1,0,29590,0.0879,0.00
NS,Nova Scotia,2016,2,29590,59180,0.1495,2600.96
NS,Nova Scotia,2016,3,59180,93000,0.1667,7024.67
NS,Nova Scotia,2016,4,93000,150000,0.1750,12662.46
NS,Nova Scotia,2016,5,150000,,0.2100,22637.46
PE,Prince Edward Island,2016,1,0,31984,0.0980,0.00
PE,Prince Edward Island,2016,2,31984,63969,0.1380,3134.43
PE,Prince Edward Island,2016,3,63969,,0.1670,7548.36
NL,Newfoundland & Labador,2016,1,0,35148,0.0820,0.00
NL,Newfoundland & Labador,2016,2,35148,70295,0.1350,2882.14
NL,Newfoundland & Labador,2016,3,70295,125000,0.1455,7626.99
NL,Newfoundland & Labador,2016,4,125000,175700,0.1580,15586.57
NL,Newfoundland & Labador,2016,5,175700,,0.1680,23597.17
YT,Yukon,2016,1,0,45282,0.0640,0.00
YT,Yukon,2016,2,45282,90563,0.0900,2898.05
YT,Yukon,2016,3,90563,140388,0.1090,6973.34
YT,Yukon,2016,4,140388,500000,0.1280,12404.27
YT,Yukon,2016,5,500000,,0.1500,58434.61
NT,Northwest Territories,2016,1,0,41011,0.0590,0.00
NT,Northwest Territories,2016,2,41011,82024,0.0860,2419.65
NT,Northwest Territories,2016,3,82024,133353,0.1220,5946.77
NT,Northwest Territories,2016,4,133353,,0.1405,12208.91
NU,Nunavut,2016,1,0,43176,0.0400,0.00
NU,Nunavut,2016,2,43176,86351,0.0700,1727.04
NU,Nunavut,2016,3,86351,140388,0.0900,4749.29
NU,Nunavut,2016,4,140388,,0.1150,9612.62
CAN,Canada,2015,1,0,44701,0.1500,0.00
CAN,Canada,2015,2,44701,89401,0.2200,6705.15
CAN,Canada,2015,3,89401,138586,0.2600,16539.15
CAN,Canada,2015,4,138586,,0.2900,29327.25
BC,British Columbia,2015,1,0,37869,0.0506,0.00
BC,British Columbia,2015,2,37869,75740,0.0770,1916.17
BC,British Columbia,2015,3,75740,86958,0.1050,4832.24
BC,British Columbia,2015,4,86958,105592,0.1229,6010.13
BC,British Columbia,2015,5,105592,151050,0.1470,8300.25
BC,British Columbia,2015,6,151050,,0.1680,14982.58
AB,Alberta,2015,1,0,125000,0.1000,0.00
AB,Alberta,2015,2,125000,150000,0.1050,12500.00
AB,Alberta,2015,3,150000,200000,0.1075,15125.00
AB,Alberta,2015,4,200000,300000,0.1100,20500.00
AB,Alberta,2015,5,300000,,0.1125,31500.00
SK,Saskatchewan,2015,1,0,44028,0.1100,0.00
SK,Saskatchewan,2015,2,44028,125795,0.1300,4843.08
SK,Saskatchewan,2015,3,125795,,0.1500,15472.79
MB,Manitoba,2015,1,0,31000,0.1080,0.00
MB,Manitoba,2015,2,31000,67000,0.1275,3348.00
MB,Manitoba,2015,3,67000,,0.1740,7938.00
ON,Ontario,2015,1,0,40922,0.0505,0.00
ON,Ontario,2015,2,40922,81847,0.0915,2066.56
ON,Ontario,2015,3,81847,150000,0.1116,5811.20
ON,Ontario,2015,4,150000,220000,0.1216,13417.07
ON,Ontario,2015,5,220000,,0.1316,21929.07
QC,Québec,2015,1,0,41935,0.1600,0.00
QC,Québec,2015,2,41935,83865,0.2000,6709.60
QC,Québec,2015,3,83865,102040,0.2400,15095.60
QC,Québec,2015,4,102040,,0.2575,19457.60
NB,New Brunswick,2015,1,0,39973,0.0968,0.00
NB,New Brunswick,2015,2,39973,79946,0.1482,3869.39
NB,New Brunswick,2015,3,79946,129975,0.1652,9793.39
NB,New Brunswick,2015,4,129975,150000,0.1784,18058.18
NB,New Brunswick,2015,5,150000,250000,0.2030,21630.64
NB,New Brunswick,2015,6,250000,,0.2575,41930.64
NS,Nova Scotia,2015,1,0,29590,0.0879,0.00
NS,Nova Scotia,2015,2,29590,59180,0.1495,2600.96
NS,Nova Scotia,2015,3,59180,93000,0.1667,7024.67
NS,Nova Scotia,2015,4,93000,150000,0.1750,12662.46
NS,Nova Scotia,2015,5,150000,,0.2100,22637.46
PE,Prince Edward Island,2015,1,0,31984,0.0980,0.00
PE,Prince Edward Island,2015,2,31984,63969,0.1380,3134.43
PE,Prince Edward Island,2015,3,63969,,0.1670,7548.36
NL,Newfoundland & Labador,2015,1,0,35008,0.0770,0.00
NL,Newfoundland & Labador,2015,2,35008,70015,0.1250,2695.62
NL,Newfoundland & Labador,2015,3,70015,125000,0.1330,7071.50
NL,Newfoundland & Labador,2015,4,125000,175000,0.1380,14384.51
NL,Newfoundland & Labador,2015,5,175000,,0.1430,21284.51
YT,Yukon,2015,1,0,44701,0.0640,0.00
YT,Yukon,2015,2,44701,89401,0.0900,2860.86
YT,Yukon,2015,3,89401,138586,0.1090,6883.86
YT,Yukon,2015,4,138586,500000,0.1280,12245.03
YT,Yukon,2015,5,500000,,0.1500,58506.02
NT,Northwest Territories,2015,1,0,40484,0.0590,0.00
NT,Northwest Territories,2015,2,40484,80971,0.0860,2388.56
NT,Northwest Territories,2015,3,80971,131641,0.1220,5870.44
NT,Northwest Territories,2015,4,131641,,0.1405,12052.18
NU,Nunavut,2015,1,0,42622,0.0400,0.00
NU,Nunavut,2015,2,42622,85243,0.0700,1704.88
NU,Nunavut,2015,3,85243,138586,0.0900,4688.35
NU,Nunavut,2015,4,138586,,0.1150,9489.22